year,value
1932,0.010145101036844295
1933,0.09864044461493116
1934,0.08908941148754934
1935,0.09468364140835384
1936,0.03691428879356451
1937,0.1272015384999321
1938,0.013509129635291828
1939,0.16968583940778004
1940,0.05345771190643056
1941,0.058410336837068755
1942,-0.024450815827149697
1943,-0.12132532907323323
1944,-0.3570489854617023
1945,-0.11641612518646482
1946,0.38875949789960806
1947,0.1838162721866592
1948,0.10067316023863704
1949,-0.08526380987325943
1950,0.16555796284331237
1951,0.17972987677747732
1952,0.05592716948457621
1953,0.061929325365257526
1954,0.07549219330479318
1955,0.08055082312620243
1956,0.07422243087071934
1957,0.05786644500021332
1958,0.05532573796545748
1959,0.09216718283288472
1960,0.12268364441156088
1961,0.07470522092558163
1962,0.10498600135168346
1963,0.09455647030448056
1964,0.06634399890743659
1965,0.07799143907043238
1966,0.08422472686654991
1967,0.08216116319519706
1968,0.07581170025350126
1969,0.0644408378592427
1970,0.07227901076865884
1971,0.03986203069331218
1972,0.06468405241795772
1973,0.07036755146553553
1974,0.03998305095471899
1975,-0.017897035127939276
1976,0.09261404510526816
1977,0.03524793296061901
1978,0.038711221759928804
1979,0.05166405667675278
1980,0.022450496307666157
1981,-0.005189247197458613
1982,0.013144273795264283
1983,-0.003948300680370664
1984,0.05413096539178319
1985,0.023183695806602955
1986,0.030628592045438552
1987,0.05107937331595913
1988,0.04978272891124469
