scale,split,timestamp,actual,statistical_pred,ml_pred,neural_pred,statistical_error,ml_error,neural_error
original,validation,1989,211322.0,210875.30668666103,210511.49219315112,208618.43068567873,-446.69331333896844,-810.5078068488801,-2703.56931432127
original,validation,1990,218700.0,218942.2551234938,217612.58145385346,216123.95935180993,242.2551234937855,-1087.4185461465386,-2576.040648190072
original,validation,1991,223619.0,227202.20745727117,223202.23405780358,224151.6218059865,3583.2074572711717,-416.7659421964199,532.6218059865059
original,validation,1992,228008.0,235666.9162545748,228239.75050413617,231889.88970730736,7658.916254574811,231.75050413617282,3881.8897073073604
original,validation,1993,228906.0,244337.76800120142,232010.45425602305,236905.3471721956,15431.768001201417,3104.4542560230475,7999.347172195587
original,validation,1994,236497.0,253215.84315338975,238065.95660810705,244457.98683055124,16718.843153389753,1568.9566081070516,7960.9868305512355
original,validation,1995,243408.0,262302.10722485976,246311.85370147202,252955.50210459987,18894.107224859763,2903.8537014720205,9547.502104599873
original,validation,1997,253674.0,271597.4133479806,254679.71665446647,260341.00579755337,17923.41334798059,1005.7166544664651,6667.005797553371
original,validation,1998,260809.0,281102.50138293527,263183.8394321075,267679.41566727444,20293.50138293527,2374.8394321075175,6870.415667274443
original,validation,1999,267284.0,290817.99711125565,271943.58926389867,277379.4862922427,23533.997111255652,4659.58926389867,10095.486292242713
original,validation,2000,279320.0,300744.41158073174,280288.4638312501,287046.6616703096,21424.411580731743,968.4638312500902,7726.661670309608
original,validation,2001,285492.0,310882.14060212835,288758.36112919124,295911.9255644623,25390.140602128347,3266.3611291912384,10419.925564462319
original,test,2002,290960.0,292509.33448163175,294621.0811527912,292915.25214031484,1549.334481631755,3661.0811527912156,1955.252140314842
original,test,2003,299789.0,301232.5822619152,304681.61351742496,303781.3670084459,1443.5822619152023,4892.613517424965,3992.367008445901
original,test,2004,304490.0,310129.9641182348,312239.79114957975,313426.76477791154,5639.964118234813,7749.791149579745,8936.764777911536
original,test,2005,309817.0,319162.5762112401,323057.3374118644,321746.4371275244,9345.576211240084,13240.337411864428,11929.437127524405
original,test,2006,317533.0,328327.8654879558,333211.1017342061,331133.9688672489,10794.865487955802,15678.10173420608,13600.968867248914
original,test,2007,318953.0,337624.09078796953,343548.1045760918,342801.3978316,18671.09078796953,24595.104576091806,23848.397831599985
original,test,2008,319037.0,347049.45562337636,355262.4467174787,354320.2536431718,28012.455623376358,36225.446717478684,35283.2536431718
original,test,2009,299915.0,356602.08935387945,365666.54592548026,364310.6172437401,56687.08935387945,65751.54592548026,64395.617243740126
original,test,2010,309885.0,366280.0491728766,377575.57557512866,376492.71230113454,56395.04917287658,67690.57557512866,66607.71230113454
original,test,2011,313792.0,376081.3226562986,389962.96775323246,389490.30036886124,62289.32265629858,76170.96775323246,75698.30036886124
original,test,2012,307220.0,386003.8303733188,401737.17798200966,401356.6891589504,78783.83037331881,94517.17798200966,94136.68915895041
original,test,2013,297288.0,396045.4285409832,415416.34073107835,413640.30019681965,98757.42854098318,118128.34073107835,116352.30019681965
original,test,2014,291084.0,406203.91171666334,428081.98479192954,427623.19943308184,115119.91171666334,136997.98479192954,136539.19943308184
