year,consumo_totale
1931,8335.0
1932,8420.0
1933,9293.0
1934,10159.0
1935,11168.0
1936,11588.0
1937,13160.0
1938,13339.0
1939,15806.0
1940,16674.0
1941,17677.0
1942,17250.0
1943,15279.0
1944,10691.0
1945,9516.0
1946,14038.0
1947,16871.0
1948,18658.0
1949,17133.0
1950,20218.0
1951,24199.0
1952,25591.0
1953,27226.0
1954,29361.0
1955,31824.0
1956,34276.0
1957,36318.0
1958,38384.0
1959,42090.0
1960,47584.0
1961,51275.0
1962,56951.0
1963,62599.0
1964,66893.0
1965,72319.0
1966,78674.0
1967,85411.0
1968,92138.0
1969,98271.0
1970,105637.0
1971,109933.0
1972,117279.0
1973,125829.0
1974,130962.0
1975,128639.0
1976,141122.0
1977,146185.0
1978,151955.0
1979,160012.0
1980,163645.0
1981,162798.0
1982,164952.0
1983,164302.0
1984,173441.0
1985,177509.0
1986,183030.0
1987,192622.0
1988,202454.0
1989,211322.0
1990,218700.0
1991,223619.0
1992,228008.0
1993,228906.0
1994,236497.0
1995,243408.0
1997,253674.0
1998,260809.0
1999,267284.0
2000,279320.0
2001,285492.0
2002,290960.0
2003,299789.0
2004,304490.0
2005,309817.0
2006,317533.0
2007,318953.0
2008,319037.0
2009,299915.0
2010,309885.0
2011,313792.0
2012,307220.0
2013,297288.0
2014,291084.0
