model,lookback,params,best_epoch,best_val_loss,rmse_val,mae_val,mape_val,mbe_val,abs_mbe_val,rmse_val_orig,mae_val_orig,mape_val_orig,mbe_val_orig,abs_mbe_val_orig,rank_rmse_val,rank_abs_mbe_val
lstm,6,"{'hidden_size': 8, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",107,1.3260073501442093e-05,0.0039435997914679735,0.003184500318889616,0.31263379976057454,-0.0010073664656512938,0.0010073664656512938,7684.113704675321,6338.108270689298,3.513188547895206,-1498.1460978335963,1498.1460978335963,7684.113704675321,1498.1460978335963
lstm,6,"{'hidden_size': 16, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",75,1.2317305845499504e-05,0.0037580654553069867,0.003218999448504278,0.31526832553336304,0.0007496592530376711,0.0007496592530376711,7863.300247722569,6728.3972732269785,3.6285094697870828,2115.277091927675,2115.277091927675,7863.300247722569,2115.277091927675
lstm,6,"{'hidden_size': 8, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",55,1.3575064258475322e-05,0.0043962695217777395,0.003968042951437378,0.3879877988348127,0.0008492794760830202,0.0008492794760830202,9354.12738007357,8457.067686024038,4.467038049691274,2651.0190623485673,2651.0190623485673,9354.12738007357,2651.0190623485673
lstm,12,"{'hidden_size': 8, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",61,2.0767834939761087e-05,0.004993846829535342,0.004194057579186139,0.4118491169936072,-0.001336330460631152,0.001336330460631152,9558.902661082355,8300.317705856638,4.60232454757708,-1793.2099133455122,1793.2099133455122,9558.902661082355,1793.2099133455122
lstm,12,"{'hidden_size': 8, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",99,2.0751427655341104e-05,0.005211730515570413,0.00392663774356119,0.38634822593187673,-0.002726859139525195,0.002726859139525195,9632.739173953203,7478.38997422963,4.248686872674594,-4832.162346538227,4832.162346538227,9632.739173953203,4832.162346538227
lstm,12,"{'hidden_size': 16, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",19,0.025966227054595947,0.18612979476559116,0.1853280278912418,18.105038309924915,-0.1853280278912418,0.1853280278912418,167199.59525605163,165437.3022336578,87.19165086093824,-165437.3022336578,165437.3022336578,167199.59525605163,165437.3022336578
lstm,12,"{'hidden_size': 16, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",11,0.026241492480039597,0.18672475142642814,0.18593265740784337,18.164238517259516,-0.18593265740784337,0.18593265740784337,167354.49505781668,165598.51767871893,87.28035540507261,-165598.51767871893,165598.51767871893,167354.49505781668,165598.51767871893
lstm,6,"{'hidden_size': 16, 'num_layers': 1, 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",22,0.03521290421485901,0.22888061104428908,0.22782673864277533,22.256653487195543,-0.22782673864277533,0.22782673864277533,175986.75003336094,174293.17059012238,91.93309805200789,-174293.17059012238,174293.17059012238,175986.75003336094,174293.17059012238
mlp,12,"{'hidden_size': 16, 'activation': 'tanh', 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",16,1.1902208825631533e-05,0.003558984164560099,0.0029138051692529253,0.28548773715573694,0.0003500667342312136,0.0003500667342312136,7396.851128191237,6052.419506046672,3.2827376397894263,1067.2152871077283,1067.2152871077283,7396.851128191237,1067.2152871077283
mlp,12,"{'hidden_size': 16, 'activation': 'tanh', 'dropout': 0.1, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",26,1.2326697287790012e-05,0.00370407185643601,0.0030558102626248697,0.2993070123700043,0.0008229133614666261,0.0008229133614666261,7799.004602129054,6398.899118464367,3.4587725746213307,2120.045569584504,2120.045569584504,7799.004602129054,2120.045569584504
mlp,12,"{'hidden_size': 16, 'activation': 'tanh', 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",16,1.2735532436636277e-05,0.003848264962190796,0.003191722220936044,0.3124978188226979,0.00119352312175105,0.00119352312175105,8193.276355693879,6736.677400084212,3.6253314012372737,2942.9354031265043,2942.9354031265043,8193.276355693879,2942.9354031265043
mlp,12,"{'hidden_size': 16, 'activation': 'tanh', 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",27,1.3703905096917879e-05,0.004297520943277944,0.0037624910995170736,0.3681516144562262,-0.0027625325194232664,0.0027625325194232664,8786.640334785587,7733.442173519687,4.116624696599799,-5629.71511916912,5629.71511916912,8786.640334785587,5629.71511916912
mlp,6,"{'hidden_size': 8, 'activation': 'relu', 'dropout': 0.1, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",48,2.1147021470824257e-05,0.0050732146306943955,0.003730157283056168,0.3669247693247524,-0.002565765666090747,0.002565765666090747,9488.004546759947,7123.444290561788,4.037104170879364,-4484.520236732569,4484.520236732569,9488.004546759947,4484.520236732569
mlp,6,"{'hidden_size': 8, 'activation': 'relu', 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",20,2.134255009877961e-05,0.005118039609402038,0.00376392415243465,0.37025186241879476,-0.0026615592709415157,0.0026615592709415157,9557.451215241605,7181.685950603909,4.070766374795512,-4683.663749631744,4683.663749631744,9557.451215241605,4683.663749631744
mlp,6,"{'hidden_size': 8, 'activation': 'relu', 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",60,2.0518293240456842e-05,0.005524716482984053,0.004253896869787987,0.4178657659262562,-0.004032099532210132,0.004032099532210132,10371.378572600044,8217.14676898258,4.578051700364235,-7735.598705592815,7735.598705592815,10371.378572600044,7735.598705592815
mlp,6,"{'hidden_size': 8, 'activation': 'relu', 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",40,2.2151707526063547e-05,0.005248417079819686,0.004805663819458661,0.4703638716561763,-0.00020259349259068581,0.00020259349259068581,10842.818032559453,10030.386945921344,5.344507905296179,818.0582837461828,818.0582837461828,10842.818032559453,818.0582837461828
mlp,12,"{'hidden_size': 16, 'activation': 'relu', 'dropout': 0.1, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",27,0.00013419281458482146,0.01163765662961309,0.009264873107228521,0.9103188491828118,-0.005020091222845813,0.005020091222845813,21393.271194617082,17669.111474479254,9.776613434501433,-6942.749734644909,6942.749734644909,21393.271194617082,6942.749734644909
mlp,12,"{'hidden_size': 16, 'activation': 'relu', 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",16,0.00018410915799904615,0.01657388218177721,0.014570459958691263,1.419819762277758,0.006743904663003186,0.006743904663003186,43398.26963120813,35063.079031215304,17.605510307741852,21548.97430826087,21548.97430826087,43398.26963120813,21548.97430826087
mlp,12,"{'hidden_size': 16, 'activation': 'relu', 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",16,0.0001661518181208521,0.024961691582353153,0.024610242532812854,2.4080424703060577,-0.024610242532812854,0.024610242532812854,45667.27616867497,45117.76099933333,23.998110233783606,-45117.76099933333,45117.76099933333,45667.27616867497,45117.76099933333
mlp,12,"{'hidden_size': 16, 'activation': 'relu', 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",26,0.00018112904217559844,0.027409543301281123,0.027140558051192067,2.6544950458667596,-0.027140558051192067,0.027140558051192067,49982.95382315404,49338.99753125165,26.133213993932454,-49338.99753125165,49338.99753125165,49982.95382315404,49338.99753125165
mlp,6,"{'hidden_size': 16, 'activation': 'relu', 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",200,0.0004053072480019182,0.03455461861743417,0.033068359183394215,3.2232876599411138,-0.033068359183394215,0.033068359183394215,63192.26679796369,59437.00681097417,30.503071696233302,-59437.00681097417,59437.00681097417,63192.26679796369,59437.00681097417
mlp,6,"{'hidden_size': 16, 'activation': 'tanh', 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",153,0.00021764161647297442,0.03584561353098376,0.034026733326041,3.315745201581531,-0.034026733326041,0.034026733326041,65099.66541539951,60817.4640612473,31.127515018884395,-60817.4640612473,60817.4640612473,65099.66541539951,60817.4640612473
mlp,12,"{'hidden_size': 8, 'activation': 'relu', 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",200,0.0005814945325255394,0.04104570750999421,0.04036978213699986,3.9403154090025185,-0.04036978213699986,0.04036978213699986,71800.45867135336,69483.04041630839,36.14288620641782,-69483.04041630839,69483.04041630839,71800.45867135336,69483.04041630839
mlp,6,"{'hidden_size': 16, 'activation': 'tanh', 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",164,0.0006974462885409594,0.06327858021379339,0.06020971267136266,5.867778307494074,-0.06020971267136266,0.06020971267136266,98244.3516557072,92927.77061530623,47.78679275946923,-92927.77061530623,92927.77061530623,98244.3516557072,92927.77061530623
mlp,12,"{'hidden_size': 8, 'activation': 'relu', 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",200,0.001510309986770153,0.06531279524766745,0.0639956328144901,6.244735992856191,-0.0639956328144901,0.0639956328144901,100430.10892484162,97319.56338950888,50.632629338272686,-97319.56338950888,97319.56338950888,100430.10892484162,97319.56338950888
mlp,6,"{'hidden_size': 16, 'activation': 'tanh', 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",198,0.0015444464515894651,0.08962751467127693,0.08559832303436925,8.343348510337758,-0.08559832303436925,0.08559832303436925,121236.16562703271,115874.13736421324,59.850735498730444,-115874.13736421324,115874.13736421324,121236.16562703271,115874.13736421324
mlp,6,"{'hidden_size': 8, 'activation': 'tanh', 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",193,0.0029698628932237625,0.0991987855608464,0.09590069680126836,9.352020499052461,-0.09590069680126836,0.09590069680126836,128389.03008829536,124003.48488293197,64.36808310531593,-124003.48488293197,124003.48488293197,128389.03008829536,124003.48488293197
mlp,6,"{'hidden_size': 8, 'activation': 'tanh', 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",91,0.004134011454880238,0.11233284368374227,0.10890456168564489,10.621493189357105,-0.10890456168564489,0.10890456168564489,136676.74466610988,132558.2071098238,68.95550784887023,-132558.2071098238,132558.2071098238,136676.74466610988,132558.2071098238
mlp,6,"{'hidden_size': 16, 'activation': 'tanh', 'dropout': 0.1, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",154,0.0028790452051907778,0.11363267481687254,0.10922970800312688,10.649514442404447,-0.10922970800312688,0.10922970800312688,137034.9827885428,132217.11791133598,68.59285942688533,-132217.11791133598,132217.11791133598,137034.9827885428,132217.11791133598
mlp,6,"{'hidden_size': 8, 'activation': 'tanh', 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",198,0.0046681249514222145,0.1172184292094656,0.11379396347912481,11.099039088413464,-0.11379396347912481,0.11379396347912481,139483.61029704098,135494.40472379577,70.54186126966057,-135494.40472379577,135494.40472379577,139483.61029704098,135494.40472379577
mlp,12,"{'hidden_size': 8, 'activation': 'tanh', 'dropout': 0.0, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",16,0.009591257199645042,0.12355183310894388,0.12183066933067968,11.892721104660883,-0.12183066933067968,0.12183066933067968,143460.87145068162,140770.8182079236,73.74826434058896,-140770.8182079236,140770.8182079236,143460.87145068162,140770.8182079236
mlp,12,"{'hidden_size': 8, 'activation': 'tanh', 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",28,0.009648976847529411,0.12398812470661655,0.12225869326504399,11.934494345968027,-0.12225869326504399,0.12225869326504399,143685.9486992574,140996.3477526831,73.86808670002709,-140996.3477526831,140996.3477526831,143685.9486992574,140996.3477526831
mlp,12,"{'hidden_size': 8, 'activation': 'tanh', 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",16,0.010322267189621925,0.12846911209764217,0.12668160824688604,12.366299593379052,-0.12668160824688604,0.12668160824688604,145942.723465456,143274.72271846532,75.08369645218113,-143274.72271846532,143274.72271846532,145942.723465456,143274.72271846532
mlp,12,"{'hidden_size': 8, 'activation': 'tanh', 'dropout': 0.1, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",26,0.011704778298735619,0.13641877831229246,0.1345637413731449,13.136024261795903,-0.1345637413731449,0.1345637413731449,149687.00620040583,147078.58768535312,77.12122293682305,-147078.58768535312,147078.58768535312,149687.00620040583,147078.58768535312
mlp,6,"{'hidden_size': 8, 'activation': 'tanh', 'dropout': 0.1, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",48,0.009256115183234215,0.15192400728932115,0.14842037885101964,14.480878662009738,-0.14842037885101964,0.14842037885101964,155549.7022681134,152282.81830545602,79.63977680221134,-152282.81830545602,152282.81830545602,155549.7022681134,152282.81830545602
mlp,6,"{'hidden_size': 16, 'activation': 'relu', 'dropout': 0.0, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",200,0.007866348139941692,0.1739582611674976,0.1686168315878742,16.44553870995909,-0.1686168315878742,0.1686168315878742,162186.46185296564,158597.82596053294,82.88388624503652,-158597.82596053294,158597.82596053294,162186.46185296564,158597.82596053294
mlp,12,"{'hidden_size': 8, 'activation': 'relu', 'dropout': 0.1, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",101,0.016290616244077682,0.19587689317094298,0.1920172038546436,18.737960594570207,-0.1920172038546436,0.1920172038546436,168674.3017326391,166098.0946016731,87.21967252729293,-166098.0946016731,166098.0946016731,168674.3017326391,166098.0946016731
mlp,12,"{'hidden_size': 8, 'activation': 'relu', 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",56,0.016586896032094955,0.19763211055307747,0.19373963205727268,18.906055237336634,-0.19373963205727268,0.19373963205727268,169072.8033457038,166510.38368014392,87.44353851487084,-166510.38368014392,166510.38368014392,169072.8033457038,166510.38368014392
mlp,6,"{'hidden_size': 16, 'activation': 'relu', 'dropout': 0.1, 'batch_size': 16, 'learning_rate': 0.001, 'weight_decay': 0.0}",159,0.021375656127929688,0.21452780783894773,0.21125761597069434,20.621149090359733,-0.21125761597069434,0.21125761597069434,172869.33184665424,170551.75478398587,89.67334089298215,-170551.75478398587,170551.75478398587,172869.33184665424,170551.75478398587
mlp,6,"{'hidden_size': 16, 'activation': 'relu', 'dropout': 0.1, 'batch_size': 32, 'learning_rate': 0.001, 'weight_decay': 0.0}",200,0.02890651859343052,0.2716443437563248,0.267046729015433,26.064484255628763,-0.267046729015433,0.267046729015433,180645.13342344094,178552.93956437518,94.0165350728541,-178552.93956437518,178552.93956437518,180645.13342344094,178552.93956437518
