split,timestamp,actual,decision_tree_pred,random_forest_pred,gradient_boosting_pred,xgboost_pred
validation,1974,11.911070513360594,11.911070513360594,11.910381795272263,11.910750841236377,11.907258987426758
validation,1975,11.900457397268367,11.900457397268367,11.927374724701444,11.900722525209781,11.903547286987305
validation,1976,12.004880147285961,12.004880147285961,11.989116966094029,12.004872119521767,12.005452156066895
validation,1977,12.02302682652165,12.02302682652165,12.027029400477417,12.023118320790667,12.022915840148926
validation,1978,12.072781224110258,12.072781224110258,12.072760365372982,12.072907664418132,12.041146278381348
validation,1979,12.107715327913304,12.107715327913304,12.108088651477578,12.10778547730019,12.080357551574707
validation,1980,12.132113893011878,12.132113893011878,12.122006252161864,12.131774303808498,12.107771873474121
validation,1981,12.10987557255234,12.10987557255234,12.11788871601184,12.109772223768832,12.116044044494629
validation,1982,12.125106595040164,12.125106595040164,12.120802174903288,12.125090012734272,12.122015953063965
validation,1983,12.11659094708018,12.11659094708018,12.122396975316798,12.116765569803556,12.120457649230957
validation,1984,12.115436525270729,12.115436525270729,12.124187276126966,12.115763727665813,12.117572784423828
validation,1985,12.132108509185432,12.132108509185432,12.138538213442708,12.1319802781309,12.117572784423828
validation,1986,12.166973125032765,12.166973125032765,12.177577083221433,12.166952430217428,12.13034725189209
validation,1987,12.212914188710526,12.212914188710526,12.209121694374288,12.21284465665637,12.165444374084473
validation,1988,12.223725905767491,12.223725905767491,12.227730520066949,12.223792800475675,12.172507286071777
validation,1989,12.258432620811327,12.258432620811327,12.256149020194712,12.258415652946187,12.216547966003418
validation,1990,12.287154812778372,12.287154812778372,12.283572259555708,12.287246663632592,12.224160194396973
validation,1991,12.310621832149588,12.310621832149588,12.303313590729957,12.310522869503952,12.258103370666504
validation,1992,12.329369341873512,12.329369341873512,12.31299919495373,12.32928363135926,12.277134895324707
validation,1993,12.313980414182694,12.313980414182694,12.308327445478598,12.314008665518877,12.290553092956543
test,1994,12.353651779974394,12.313980414182694,12.308327445478598,12.314231680991634,12.316618919372559
test,1995,12.394546074031489,12.313980414182694,12.308327445478598,12.325758513040894,12.323917388916016
test,1997,12.435051140402898,12.313980414182694,12.308327445478598,12.3255583335179,12.323917388916016
test,1998,12.467617343475522,12.313980414182694,12.308327445478598,12.3255583335179,12.323917388916016
test,1999,12.489965046238371,12.313980414182694,12.308327445478598,12.3255583335179,12.323917388916016
test,2000,12.530436152201297,12.313980414182694,12.308327445478598,12.3255583335179,12.323917388916016
test,2001,12.538952723783165,12.313980414182694,12.308327445478598,12.3255583335179,12.323917388916016
test,2002,12.558144009235301,12.313980414182694,12.308327445478598,12.3255583335179,12.323917388916016
test,2003,12.590879160107564,12.313980414182694,12.308327445478598,12.3255583335179,12.323917388916016
test,2004,12.62255022648956,12.313980414182694,12.308327445478598,12.3255583335179,12.323917388916016
test,2005,12.623706743558474,12.313980414182694,12.308327445478598,12.3255583335179,12.323917388916016
test,2006,12.657438031821096,12.313980414182694,12.308327445478598,12.3255583335179,12.323917388916016
test,2007,12.656794699208698,12.313980414182694,12.308327445478598,12.3255583335179,12.323917388916016
test,2008,12.673356955777146,12.313980414182694,12.308327445478598,12.3255583335179,12.323917388916016
test,2009,12.5867087150757,12.313980414182694,12.308327445478598,12.3255583335179,12.323917388916016
test,2010,12.61839088387264,12.313980414182694,12.308327445478598,12.3255583335179,12.323917388916016
test,2011,12.620071239656577,12.313980414182694,12.308327445478598,12.3255583335179,12.323917388916016
test,2012,12.609121503522392,12.313980414182694,12.308327445478598,12.3255583335179,12.323917388916016
test,2013,12.576960111395962,12.313980414182694,12.308327445478598,12.3255583335179,12.323917388916016
test,2014,12.541937554908383,12.313980414182694,12.308327445478598,12.3255583335179,12.323917388916016
