family,model,timestamp,predicted_value,previous_observed,expected_change,expected_change_pct,uncertainty_margin,scenario_low,scenario_high,uncertainty_ratio,recommendation
statistical,sarima,1994,224870.52232291875,222788.0,2082.522322918754,0.9347551586794414,6301.982527315527,218568.53979560322,231172.50485023428,0.02802493836104382,low_uncertainty_stable
statistical,sarima,1995,228733.18384246805,231804.0,-3070.8161575319536,-1.3247468367810538,6301.982527315527,222431.20131515252,235035.16636978358,0.027551675806059675,low_uncertainty_stable
statistical,sarima,1997,232565.24775800682,241480.0,-8914.752241993177,-3.6917145279083887,6301.982527315527,226263.2652306913,238867.23028532235,0.02709769661661997,low_uncertainty_stable
statistical,sarima,1998,236365.3918150911,251462.0,-15096.608184908895,-6.003534603601695,6301.982527315527,230063.40928777558,242667.37434240663,0.026662035752871866,low_uncertainty_decrease
statistical,sarima,1999,240132.36888082445,259786.0,-19653.631119175552,-7.565315728782748,6301.982527315527,233830.38635350892,246434.35140813998,0.026243786111330724,low_uncertainty_decrease
statistical,sarima,2000,243865.00590071414,265657.0,-21791.99409928586,-8.203056610323035,6301.982527315527,237563.0233733986,250166.98842802967,0.025842094498303218,low_uncertainty_decrease
statistical,sarima,2001,247562.20273139744,276629.0,-29066.79726860256,-10.50750184131185,6301.982527315527,241260.2202040819,253864.18525871297,0.02545615791823082,low_uncertainty_decrease
statistical,sarima,2002,251222.93086097727,278995.0,-27772.06913902273,-9.954325037732838,6301.982527315527,244920.94833366174,257524.9133882928,0.025085220149759904,low_uncertainty_decrease
statistical,sarima,2003,254846.23202827596,284401.0,-29554.76797172404,-10.391935320805496,6301.982527315527,248544.24950096043,261148.2145555915,0.024728568584903788,low_uncertainty_decrease
statistical,sarima,2004,258431.2167518881,293865.0,-35433.7832481119,-12.05784399234747,6301.982527315527,252129.23422457257,264733.1992792036,0.02438553130895896,low_uncertainty_decrease
statistical,sarima,2005,261977.0627794324,303321.0,-41343.937220567605,-13.630423617411127,6301.982527315527,255675.08025211687,268279.0453067479,0.02405547440090732,low_uncertainty_decrease
statistical,sarima,2006,265483.01346695505,303672.0,-38188.986533044954,-12.575735179089595,6301.982527315527,259181.03093963952,271784.99599427055,0.02373779943589476,low_uncertainty_decrease
statistical,sarima,2007,268948.3760979405,314090.0,-45141.62390205951,-14.372193925963739,6301.982527315527,262646.393570625,275250.358625256,0.02343194117305468,low_uncertainty_decrease
statistical,sarima,2008,272372.52015091927,313888.0,-41515.47984908073,-13.226208026136943,6301.982527315527,266070.53762360377,278674.50267823477,0.023137365413455263,low_uncertainty_decrease
statistical,sarima,2009,275754.87552416493,319130.0,-43375.124475835066,-13.591678775368992,6301.982527315527,269452.89299684943,282056.85805148043,0.022853567014314752,low_uncertainty_decrease
statistical,sarima,2010,279094.9307255062,292642.0,-13547.069274493784,-4.629229322685665,6301.982527315527,272792.9481981907,285396.9132528217,0.02258006804685971,low_uncertainty_stable
statistical,sarima,2011,282392.23103478376,302062.0,-19669.768965216237,-6.511831665425058,6301.982527315527,276090.24850746826,288694.21356209926,0.022316416086316758,low_uncertainty_decrease
statistical,sarima,2012,285646.3766460375,302570.0,-16923.623353962495,-5.593291917229895,6301.982527315527,279344.394118722,291948.359173353,0.022062182623533544,low_uncertainty_decrease
statistical,sarima,2013,288857.0207960188,299275.0,-10417.979203981173,-3.4810723261151693,6301.982527315527,282555.0382687033,295159.0033233343,0.0218169615886393,low_uncertainty_stable
statistical,sarima,2014,292023.8678851965,289803.0,2220.8678851965233,0.7663370928515313,6301.982527315527,285721.885357881,298325.850412512,0.021580367977979895,low_uncertainty_stable
