date,values
2025-02-07,545.5
2025-02-08,531.2
2025-02-09,528.0
2025-02-10,534.9
2025-02-11,668.7
2025-02-12,638.1
2025-02-13,609.4
2025-02-14,591.0
2025-02-15,470.9
2025-02-16,582.6
2025-02-17,582.5
2025-02-18,587.8
2025-02-19,623.1
2025-02-20,608.0
2025-02-21,585.4
2025-02-22,603.1
2025-02-23,679.0
2025-02-24,585.5
2025-02-25,531.3
2025-02-26,522.7
2025-02-27,465.3
2025-02-28,410.0
2025-03-01,360.2
2025-03-02,434.3
2025-03-03,483.5
2025-03-04,457.8
2025-03-05,548.5
2025-03-06,532.0
2025-03-07,518.0
2025-03-08,460.7
2025-03-09,451.7
2025-03-10,515.6
2025-03-11,513.2
2025-03-12,510.0
2025-03-13,461.6
2025-03-14,521.0
2025-03-15,480.0
2025-03-16,519.0
2025-03-17,459.9
2025-03-18,532.9
2025-03-19,583.4
2025-03-20,566.2
2025-03-21,584.8
2025-03-22,593.9
2025-03-23,548.7
2025-03-24,527.9
2025-03-25,547.7
2025-03-26,562.4
2025-03-27,581.2
2025-03-28,591.5
2025-03-29,585.1
2025-03-30,611.3
2025-03-31,590.6
2025-04-01,610.9
2025-04-02,585.9
2025-04-03,564.3
2025-04-04,590.1
2025-04-05,548.4
2025-04-06,554.2
2025-04-07,573.8
2025-04-08,575.8
2025-04-09,579.3
2025-04-10,601.4
2025-04-11,586.8
2025-04-12,560.8
2025-04-13,578.2
2025-04-14,571.1
2025-04-15,570.0
2025-04-16,600.8
2025-04-17,586.4
2025-04-18,581.6
2025-04-19,555.8
2025-04-20,586.6
2025-04-21,596.8
2025-04-22,613.1
2025-04-23,600.0
2025-04-24,573.0
2025-04-25,556.1
2025-04-26,583.5
2025-04-27,596.9
2025-04-28,535.7
2025-04-29,483.7
2025-04-30,494.0
2025-05-01,474.6
2025-05-02,493.5
2025-05-03,486.9
2025-05-04,499.9
2025-05-05,509.5
2025-05-06,506.1
2025-05-07,532.7
2025-05-08,582.9
2025-05-09,591.8
2025-05-10,627.7
2025-05-11,644.1
2025-05-12,671.7
2025-05-13,661.3
2025-05-14,665.1
2025-05-15,642.1
2025-05-16,651.1
2025-05-17,658.3
2025-05-18,643.8
2025-05-19,612.3
2025-05-20,605.7
2025-05-21,609.0
2025-05-22,618.2
2025-05-23,608.7
2025-05-24,610.1
2025-05-25,648.8
2025-05-26,651.9
2025-05-27,637.6
2025-05-28,614.1
2025-05-29,519.1
2025-05-30,527.5
2025-05-31,598.5
2025-06-01,607.0
2025-06-02,597.1
2025-06-03,569.5
2025-06-04,549.6
2025-06-05,529.4
2025-06-06,539.0
2025-06-07,542.6
2025-06-08,528.0
2025-06-09,531.2
2025-06-10,516.5
2025-06-11,548.0
2025-06-12,545.9
2025-06-13,463.6
2025-06-14,458.0
2025-06-15,480.0
2025-06-16,514.9
2025-06-17,622.9
2025-06-18,552.6
2025-06-19,584.7
2025-06-20,576.2
2025-06-21,574.5
2025-06-22,617.8
2025-06-23,619.3
2025-06-24,587.2
2025-06-25,566.8
2025-06-26,593.9
2025-06-27,478.3
2025-06-28,437.8
2025-06-29,474.9
2025-06-30,440.8
2025-07-01,424.6
2025-07-02,388.6
2025-07-03,479.1
2025-07-04,486.4
2025-07-05,486.1
2025-07-06,499.3
2025-07-07,542.6
2025-07-08,549.9
